text,label
Travesseiro Duoflex Natural Latex LN1102,PER
Servi,PER
Usava,LOC
Ruim,PER
Pedi,ORG
PRODUTO VEIO ERRADO,MISC
TROCA,ORG
ESTOU AGUARDANDO,MISC
VENTILADOR,ORG
CERTO...,MISC
NÃO ENVIARAM,MISC
PRODUTO,ORG
E NINGUÉM ME,ORG
JUSTIFICATIVA,ORG
NEM PREVISÃO,MISC
NO SITE DO,MISC
ESTAVA CONSTANDO,MISC
ENVIADO,MISC
NISSO,PER
Produto,PER
Brasilia,LOC
RECOMENDO!!,MISC
Parabéns,PER
Cadeira,LOC
NÃO RECOMENDO,ORG
NF,ORG
Sandisk,PER
Agradeço,PER
bom produto,LOC
Satisfeito Compra,MISC
Comprei,PER
Comprei,LOC
Lamentável,PER
FALTANDO,ORG
CAMA POIS,MISC
RECEBIAS DUAS FRONHAS AVULSAS,MISC
ONDE,MISC
RESTANTE DOE MINHA COMPRA,MISC
comprei,LOC
Ótimo,LOC
Muito boa,MISC
loja lannister,MISC
targaryen,LOC
Prezados,LOC
Recebi,MISC
Att,ORG
George Carvalho,PER
Perfeita,PER
Super Recomendo,MISC
Ameiii,PER
Gostei,LOC
Alias,PER
Ponto de Luz,LOC
Adorei,PER
O produto,MISC
Correios,PER
Oakley,PER
PRODUTO,ORG
Horrível  Muito ruim!,MISC
Péssimo,ORG
Desapontado,LOC
Sony,ORG
E14,PER
E27,MISC
Falta,MISC
vcs,LOC
Comprei,LOC
Nao,MISC
AFF,ORG
Parabéns,PER
Rapidez,MISC
Lamentável,PER
Natal,MISC
RECEBI,MISC
NO PRAZO,MISC
UM DIA,MISC
PRAZO MÁXIMO,MISC
BTU,ORG
Ameeei,PER
bom Produto,LOC
Comprei,LOC
USB,MISC
Comprei,PER
Quero,MISC
Procon,MISC
Satisfeito,MISC
targaryen,LOC
Super,MISC
Comprei,LOC
Canon,MISC
Torneira,LOC
Vale,LOC
Excelente!!,MISC
Linda,PER
Compra,LOC
Ótimo,LOC
Quero,PER
Ok Dentro,MISC
Pedi,ORG
Tenho,LOC
Pedido,PER
Super,LOC
Entrega,LOC
Adorei,PER
Prazo,MISC
bom produto,LOC
RECOMENDO,MISC
TODOS,MISC
CHEGOU ANTES DO PRAZO,MISC
Gostei,LOC
Asus,LOC
Solicito,PER
Amei,PER
Entrega,LOC
Enviei,LOC
Mt,MISC
boa Recebi,LOC
Comprei,LOC
Recebimento,ORG
Tentei,PER
Pontualidade Gostei,LOC
Nao,MISC
Super Recomendo Super,MISC
Péssimo  Meu,LOC
Quero,PER
Gostei,LOC
Super top  ,MISC
lannister,LOC
internet,MISC
comprei,LOC
Adorei,PER
RECEBI,MISC
Pistão,LOC
Péssima,LOC
Quero,LOC
Lojas,MISC
Pontualidade,PER
Amazon,ORG
Recomendo Entrega,PER
Bola Medicine Slam Ball,MISC
Crossfit 10 Kg Liveup Ls3004-10,MISC
ENTREGUE,MISC
PRAZO,ORG
TUDO PERFEITO,MISC
É PEQUENA,MISC
QUERO ESTÁ ÓTIMO,MISC
Zero  Tem,MISC
Comprei,LOC
Parabéns,LOC
Obrigada!!,MISC
Relógio,LOC
Vcs,PER
Parabens,LOC
Grosso,PER
bom Ótimo,LOC
Comprei,LOC
Alojas,LOC
COMPRA,ORG
A ENTREGA,ORG
SÓ RECEBI,MISC
ATE AGORA,MISC
ABSURDO,ORG
Compro,PER
Parabéns,PER
Dificuldade,LOC
Nao,MISC
Amei,PER
Comprarei,PER
Relógio Casio,PER
Entrega,LOC
vcs,PER
Cancelei,PER
SOLICITO,ORG
PRODUTO NAO VOLTARIA,MISC
NEGOCIO,ORG
EMPRESA,MISC
Otimo Multo,PER
Recomendo,ORG
ótimo!!!,MISC
Boa,PER
Comprei,LOC
Ótimo,PER
Fui,PER
Gostei,LOC
Perfeito Atendeu,LOC
Toner CF,ORG
ALTO RENDIMENTO,PER
Toner CF360A HP 508A,ORG
BAIXO RENDIMENTO,LOC
HP OFFICEJET,MISC
J4660,PER
TROCAR,MISC
AGUARDO,MISC
Comprei,PER
adorou!E,MISC
Recomendo!,MISC
Aguardo,LOC
Compra,LOC
Super,MISC
Comprei,PER
"Mochila
Linda",PER
Minha,PER
Péssimo,ORG
Thânia Almeida,PER
COMPREI 2,MISC
APENAS,MISC
ENTREGUE,MISC
AGUARDO,MISC
Gostei,ORG
Ótimo,LOC
DOS,MISC
SITE DOS CORREIOS NÃO INFORMAR,MISC
TRAJETO,ORG
PLANEJADO,MISC
PRAZO,ORG
Gostei,PER
Valeu,LOC
Excelente Rápido,LOC
Recomendo!,MISC
Realizei,PER
MOP Spray,MISC
Valeu,LOC
Gostei,LOC
Pensei,LOC
QUALIDADE,ORG
Entregou,PER
Ótimo,LOC
"😊
Me",MISC
Veio,MISC
Entrega  ,MISC
MEDIDA INCORR,MISC
Tentei,PER
Gostei,LOC
Entao,LOC
Recomendo,LOC
Sastifeito Produto,LOC
Loja,PER
Tudo,PER
CD,MISC
ATÉ,ORG
PRESENTE MOMENTO NÃO,MISC
PRODUTO,ORG
Comprei,LOC
Correios,MISC
Solicito,LOC
Pedido,LOC
Preto,LOC
Olá,MISC
Insatisfeita Comprei,MISC
custo beneficio,PER
Recomendo,LOC
MOTIVO DA DIFICULDADE DA,MISC
MEUS PAIS,MISC
APOSENTADOS ESTÃO SEMPRE,MISC
E ATÉ AGORA NÃO CHEGOU MINHA MERCADORIA,ORG
Aguardo,LOC
Comprei,LOC
Multi,MISC
Prato,LOC
Espero,PER
targaryen,LOC
Ótimo,LOC
Recomendo!,MISC
Ótimo,LOC
Recomendo,LOC
Recebido,PER
Farei,LOC
OK,LOC
😢,PER
Comprei,LOC
Nóta,PER
Produto,LOC
Santa Catarina de Itajai,LOC
Bosta,LOC
FUI BEM ATENDIDA,MISC
PRODUTO,ORG
PRAZO PREVISTO,ORG
E EU RECOMENDO,ORG
BCA MAX,MISC
CÁPSULAS,MISC
BCA,LOC
Parabens!,MISC
Produto bonito,LOC
Gostei,LOC
Decepção!,MISC
smart,PER
Excelente Recomendo,LOC
Ruim  Não,LOC
ENTREGA,ORG
ENTREGUE RAPIDINHO,MISC
super,MISC
linda,PER
Boa Fiquei,LOC
Amei,PER
Parabéns,PER
Veio,PER
Safisfeita  Estou,MISC
Relógio,PER
Ótimo Adoro,PER
Produto,PER
Vou,PER
GRATA,MISC
NADA,ORG
DECLARAR,ORG
Comprei 5 heasets GE,MISC
Mandei,PER
Moro,LOC
Norte,LOC
Rapidão,LOC
bom Satisfeita,LOC
Produto,PER
super,LOC
Ótimo Ótima,PER
Mto,PER
Recomendo!,MISC
Super chateada,MISC
Recomendo Recebi,PER
Realizei,PER
Toner Original,PER
128A Preto,LOC
Vou,LOC
Preto,ORG
Película,MISC
Problema Comprei,PER
Aguardo,LOC
bom Gostei,LOC
Ótimo Bem,PER
adorei,PER
Lojas,LOC
Superrecomendo,LOC
Ótimo,LOC
Ótimo,LOC
Indico,PER
Ótimo,LOC
Correios,LOC
Super,LOC
Gostei,PER
Excelentes condições,MISC
Super,MISC
Vendedor,PER
Cortina,PER
COMPRA REALIZADA DIA,MISC
Super,MISC
Recomendo Entrega,PER
RECOMENDADO MUITO,LOC
SERVIÇO,ORG
Bom Bom,LOC
ANUNCIO,ORG
RECOMENDO,MISC
Comprei,LOC
targaryen,LOC
Super,MISC
ADOREI,PER
Recomendo,LOC
Recebi,MISC
Ototemo NÃO,PER
Entrega Rápida Produto,LOC
Recomendo,LOC
Ótima,PER
Adoro,PER
Aguardo,LOC
Produto,PER
RECOMENDO RECEBI MUITO ANTES,MISC
