review_score,review_text,sentiment_label,text_length,product_category_name_english,customer_state
5,"O produto chegou em menos de uma semana, e em perfeito estado. Estou muito satisfeita. Obrigada",positive,95,food,CE
4,"Produto chegou antes do prazo de entrega, e o notebook é bem bonito.",positive,68,computers,SP
1,Deveria algem da empresa entra em contato para avisar se não tem mais o produto,negative,79,,GO
5,Loja excelente. Cumpre o prazo.,positive,31,garden_tools,SP
5,"Tudo certo, só derramou um pouquinho do produto na embalagem. Ou estava um pouco suja a caixa. Não sei ao certo",positive,111,health_beauty,SP
3,Não recebi o Travesseiro Duoflex Natural Latex LN1102 50x70x16 cm acqua.,neutral,72,bed_bath_table,SC
1,Servi ao exército em 1968 Usava os tralheres mas eram menores e o encaixa de articulação muito melhores Estes tenho que fazer curso para ñ me cortar na faca ao abrir e fechar. Ruim e perigoso encaixe,negative,199,sports_leisure,RJ
1,Pedi da cor rosa e chegou da cor roxa escuro e não gostei da cor,negative,64,housewares,SP
1,"O PRODUTO VEIO ERRADO E JÁ TOMARAM AS PROVIDÊNCIAS PARA A TROCA, ESTOU AGUARDANDO O VENTILADOR CERTO... VAMOS VER...",negative,116,air_conditioning,ES
1,"NÃO ENVIARAM O PRODUTO E NINGUÉM ME DEU JUSTIFICATIVA, NEM PREVISÃO E NO SITE DO stark ESTAVA CONSTANDO COMO ENVIADO. HOUVE FALHA DO stark NISSO",negative,144,,MT
4,Excelente produto  Produto maravilhoso e foi entregue antes da data prevista,positive,76,health_beauty,DF
5,Entregou antes do prazo valeu ótimo produto amei,positive,48,furniture_decor,MG
1,"uma vergonha de atrazo desmarcaram a entrega varias vezes e nao me entragrao nada e nem deram nenhuma satisfação. to toltalmente arrependida de ter comprado, e pretendo nunca mais comprar nada no site",negative,200,consoles_games,RJ
5,"Recomendo com certeza A forma de pagamento super fácil, e o produto chegou bem antes da data prevista. Fiquei muito satisfeita com o serviço prestado.",positive,150,toys,SP
1,O prazo de entrega do meu produto era dia 19/12 e até agora ele consta apenas como encaminhado para Brasilia.,negative,109,baby,DF
4,Não sei se voltaria a comprar nesta loja face a demora pra entregar...,positive,70,pet_shop,RJ
2,"Não consigo montar, os parafusos são frouxos",negative,44,cool_stuff,CE
5,ÓTIMO VENDEDOR!!! RECOMENDO!!!,positive,30,auto,SP
4,Parabéns pelo prazo.,positive,20,watches_gifts,AP
5,"fiquei com medo de comprar 
 por n ser entregue pelas lannister..mas eu queria muito o produto...mas superou minhas expectativas entregou antes do prazo bem embalado produto lindo..loja aprovada",positive,195,cool_stuff,SP
5,Cadeira chegou em perfeito estado. Muito boa!,positive,45,office_furniture,RJ
